0,1,2,3,4
S.No,Discipline / Group,Materials or Products tested,"Component, parameter or characteristic tested / Specic Test Performed /Tests or type of testsperformed",Test Method Specification against which tests areperformed and / or thetechniques / equipmentused
Permanent Testing,,,,
15,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Test for ratio error andphase displacement ofmeasuring currenttransformers,7.3.5.201 of IEC 61869-2 Ed. 1.0 2012-09; IS 16227(Part 2): 2016 (RA 2021)
16,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Test for Turns Ratio errorfor Class PX and PXRprotective Current Transformer,7.3.5.206 of IEC 61869-2 Ed. 1.0 2012-09; IS 16227(Part 2): 2016 (RA 2021)
17,ELECTRICAL-INDUCTORS &TRANSFORMERS,Current Transformers,Verications of Markings,7.3.6 of IEC 61869-2 Ed.1.0 2012-09; IS 16227(Part 2): 2016 (RA 2021)
18,ELECTRICAL-INDUCTORS &TRANSFORMERS,Inductive Voltage Transformers,Impulse Voltage test on Primary terminals,7.2.3 of IEC 61869-3 Ed.1.0 2011- 07; IS 16227(Part 3): 2015 (RA 2020)
19,ELECTRICAL-INDUCTORS &TRANSFORMERS,Inductive Voltage Transformers,Chopped impulse voltagewithstand test on primaryterminals,7.4.1 of IEC 61869-3 Ed.1.0 2011- 07; IS 16227(Part 3): 2015 (RA 2020)
20,ELECTRICAL-INDUCTORS &TRANSFORMERS,Inductive Voltage Transformers,Measurement of Capacitance & Dielectric Dissipation factor,7.4.3 of IEC 61869-3 Ed.1.0 2011- 07; IS 16227(Part 3): 2015 (RA 2020)
21,ELECTRICAL-INDUCTORS &TRANSFORMERS,Inductive Voltage Transformers,Partial Discharge Measurement,7.3.2 of IEC 61869-3 Ed.1.0 2011- 07; IS 16227(Part 3): 2015 (RA 2020)
22,ELECTRICAL-INDUCTORS &TRANSFORMERS,Inductive Voltage Transformers,Power Frequency Voltagewithstand test betweensections,7.3.3 of IEC 61869-3 Ed.1.0 2011- 07; IS 16227(Part 3): 2015 (RA 2020)
23,ELECTRICAL-INDUCTORS &TRANSFORMERS,Inductive Voltage Transformers,Power Frequency voltagewithstand test on primaryterminals,7.3.1 of IEC 61869-3 Ed.1.0 2011- 07; IS 16227(Part 3): 2015 (RA 2020)
24,ELECTRICAL-INDUCTORS &TRANSFORMERS,Inductive Voltage Transformers,Power Frequency Voltagewithstand test onsecondary terminals,7.3.4 of IEC 61869-3 Ed.1.0 2011- 07; IS 16227(Part 3): 2015 (RA 2020)
25,ELECTRICAL-INDUCTORS &TRANSFORMERS,Inductive Voltage Transformers,Temperature rise Test,7.2.2 of IEC 61869-3 Ed.1.0 2011- 07; IS 16227(Part 3): 2015 (RA 2020)
26,ELECTRICAL-INDUCTORS &TRANSFORMERS,Inductive Voltage Transformers,Test for Accuracy ofmeasuring Voltage Transformers,7.3.5.301 of IEC 61869-3 Ed. 1.0 2011-07; IS 16227(Part 3): 2015 (RA 2020)
27,ELECTRICAL-INDUCTORS &TRANSFORMERS,Inductive Voltage Transformers,Test for Accuracy of Protective Voltage Transformers,7.3.5.302 of IEC 61869-3 Ed. 1.0 2011-07; IS 16227(Part 3): 2015 (RA 2020)
28,ELECTRICAL-INDUCTORS &TRANSFORMERS,Inductive Voltage Transformers,Verications of Markings,7.3.6 of IEC 61869-3 Ed.1.0 2011- 07; IS 16227(Part 3): 2015 (RA 2020)
